Date : 2021-05-11 12:11:24
Directory : c:\Jank
Total : 80 files,  4254 codes, 247 comments, 1354 blanks, all 5855 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Jank\src\main\java\jp\co\jastec\jank\input\RestCheckInput.java                               | Java     |         46 |          0 |         17 |         63 |
| c:\Jank\src\main\java\jp\co\jastec\jank\input\StartDetailInput.java                             | Java     |         30 |          1 |         10 |         41 |
| c:\Jank\src\main\java\jp\co\jastec\jank\input\TimeInput.java                                    | Java     |         58 |          0 |         18 |         76 |
| c:\Jank\src\main\java\jp\co\jastec\jank\input\WorkingPatternInput.java                          | Java     |         40 |          1 |         14 |         55 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\JankModel.java                                    | Java     |         62 |          0 |         21 |         83 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\DetailContainer.java                       | Java     |        110 |          4 |         35 |        149 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\GenericProject.java                        | Java     |         16 |          0 |          8 |         24 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\Practice.java                              | Java     |         45 |          1 |         17 |         63 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\Productive.java                            | Java     |         38 |          0 |         14 |         52 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\Project.java                               | Java     |         35 |          0 |         10 |         45 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\ProjectWithProductive.java                 | Java     |         20 |          0 |          8 |         28 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\ProjectWithTask.java                       | Java     |         20 |          0 |         10 |         30 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\ProjectWithoutTasks.java                   | Java     |         28 |          0 |         10 |         38 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\detail\Task.java                                  | Java     |         43 |          3 |         12 |         58 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\header\AbsenceTime.java                           | Java     |        170 |          9 |         49 |        228 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\header\DayOffType.java                            | Java     |         36 |          1 |         10 |         47 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\header\Employee.java                              | Java     |         43 |          2 |         12 |         57 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\header\RestCheck.java                             | Java     |        109 |         14 |         35 |        158 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\header\WorkingDateTime.java                       | Java     |        127 |          1 |         47 |        175 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\header\WorkingDateTimeValidator.java              | Java     |         71 |          1 |         28 |        100 |
| c:\Jank\src\main\java\jp\co\jastec\jank\model\header\WorkingPattern.java                        | Java     |         24 |          2 |         11 |         37 |
| c:\Jank\src\main\java\jp\co\jastec\jank\service\AbstractService.java                            | Java     |          3 |          0 |          3 |          6 |
| c:\Jank\src\main\java\jp\co\jastec\jank\service\CustomerService.java                            | Java     |         64 |          3 |         14 |         81 |
| c:\Jank\src\main\java\jp\co\jastec\jank\service\JankArchiver.java                               | Java     |         36 |          3 |         15 |         54 |
| c:\Jank\src\main\java\jp\co\jastec\jank\service\JankDao.java                                    | Java     |          3 |          0 |          3 |          6 |
| c:\Jank\src\main\java\jp\co\jastec\jank\service\JankMaster.java                                 | Java     |         81 |         11 |         32 |        124 |
| c:\Jank\src\main\java\jp\co\jastec\jank\service\MyPracticeService.java                          | Java     |         66 |          1 |         24 |         91 |
| c:\Jank\src\main\java\jp\co\jastec\jank\service\ProjectSercive.java                             | Java     |         39 |          4 |         11 |         54 |
| c:\Jank\src\main\java\jp\co\jastec\jank\service\package-info.java                               | Java     |          1 |          4 |          0 |          5 |
| Total                                                                                           |          |      4,254 |        247 |      1,354 |      5,855 |
+-------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
